Mouse ID,sex,timepoint (month),treatment,Ferritin (ng/ml),HAMP1 (cDNA/ng),Hepcidin (ng/ml),Plasma Heme (µM),Haptoglobin (ng/ml),Hemopexin (ng/ml),P50 (mm Hg),Round cell half-life (minutes),RBC (10^6/uL),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),MCHC-O (g/dL),RDW (%),RET%,ARC (10^6/uL),Ret-He (pg),hepatic necrosis (yes/no),iron deposition score (0-4) (spleen),iron deposition score (0-4) (liver),iron deposition score (0-4)(kidney),,,
237,F,6,sufficient,9470.45,392.875,231.5131492,187.249727,31892.31019,23131.40265,28.565,176.6,5.76,5.4,25.1,43.6,9.4,21.5,26.3,33,47.63,2.74,13.6,Y,,,,,,
271,F,6,sufficient,NA,613.1376804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
298,F,2,Deficient,2099.413,0.871,66.21858998,245.267565,24256.51182,16298.4989,NA,357.1,6.24,6.2,28.7,46,9.9,21.6,26.5,28.5,46.16,2.88,13.9,Y,,,,,,
299,F,2,Deficient,2220.504,79.5,73.24393976,342.874044,35422.02864,34711.54167,NA,227.5,7.33,7.1,32.3,44.1,9.7,22,26.6,36.4,40.99,3,14.3,Y,,,,,,
300,F,2,Deficient,3675.636,2.141,78.19189019,297.8249,30544.31655,20965.94802,NA,185.2,6.29,6.3,29.3,46.4,10,21.6,26.4,31.2,48.83,3.07,14.2,Y,2,1,0,,,
301,F,2,Deficient,3746.912,78.67,73.98455391,298.507463,32670.64892,22653.10723,NA,259.6,6.46,6.4,29.2,45.2,9.9,21.9,26,31.8,44.96,2.9,13.6,N,2,1,0,,,
302,F,2,Deficient,3393.472,0.477,38.66498851,245.267565,39338.21209,18304.80058,NA,259.8,6.01,5.7,26.3,43.8,9.5,21.7,27,29.5,43.15,2.59,13.4,N,1,1,0,,,
278,F,4,Deficient,7474.72,29.508,42.25865288,111.485257,45167.71304,31044.19713,NA,118.3,5.98,5.6,26.8,44.8,9.4,20.9,25.7,30.8,49.38,2.95,14.2,N,2,2,2,,,
279,F,4,Deficient,10732.47,43.328,44.14165372,80.087368,34918.94139,17410.13997,NA,117.4,5,4.7,22.6,45.2,9.4,20.8,26.5,30.5,51.57,2.57,14.1,N,2,2,1,,,
280,F,4,Deficient,6065.83,89.465,47.83924806,129.914452,28532.92024,17802.26799,NA,120.4,6.62,5.9,27.6,41.7,8.9,21.4,25.7,36.3,43.22,2.86,13.5,N,2,2,2,,,
281,F,4,Deficient,2748.44,0.599,30.76289421,185.884601,40349.90856,40994.67456,NA,105.5,6.02,5.6,26.4,43.9,9.3,21.2,26.5,29.3,45.93,2.76,13.9,Y,,,,,,
282,F,4,Deficient,5838.76,53.78,43.42852242,161.312341,27875.68307,23534.66076,NA,108.3,4.87,4.6,22.2,45.6,9.4,20.7,23.9,29.6,51.36,2.5,13.7,Y,,,,,,
238,F,6,Deficient,3911.45,11.33,29.4596354,140.152894,32535.83427,26076.40789,26.264,241.9,6.34,5.9,28.7,45.3,9.3,20.6,25.4,36.9,48.1,3.05,13.6,Y,1,1,0,,,
239,F,6,Deficient,4161.49,49.866,55.38745405,155.851838,46515.97927,20946.94545,27.326,248.6,5.81,5,23.5,40.4,8.6,21.3,27.7,29.5,43.04,2.5,13,Y,,,,,,
240,F,6,Deficient,6900.08,1.489,23.40019331,172.915908,20859.55707,17712.94692,27.44,209.9,5.74,5.4,24.9,43.4,9.4,21.7,26.5,31.5,41.86,2.4,13.7,N,1,1,0,,,
241,F,6,Deficient,2992.91,70.917,47.08161012,168.137969,35198.00387,37030.916,25.163,298.4,7.07,6.1,30.4,43,8.6,20.1,26.6,37.1,44.67,3.15,12.9,Y,,,,,,
242,F,6,Deficient,NA,10.336,NA,NA,NA,NA,26.847,212.1,6.02,5.7,25.6,42.5,9.5,22.3,27,34,39.42,2.37,13.3,N,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
